Dest Geo Lat,Dest Geo Lon,Distributor Name,Stop Number,Vehicle,Date
31.337319,73.057297,Origin/Warehouse,1,2120,02/01/2025
31.341134,73.057482,NASRULLAH TRADERS ROUTE.141,2,2120,02/01/2025
31.418779,73.044673,R.S TRADERS ROUTE.135,3,2120,02/01/2025
31.742681,73.038419,DAMCO PAKISTAN (PVT) LTD.(Chiniot),4,2120,02/01/2025
31.440645,73.115344,RANA TRADERS ROUTE.57,5,2120,02/01/2025
31.387262,73.201287,YAWAR BROTHERS ROUTE-130,6,2120,02/01/2025
31.2039,73.17074,ARSHAD& CO SATYANA.13,7,2120,02/01/2025
30.731256,72.648563,MALIK BOOTA TRADERS KAMALIA.20,8,2120,02/01/2025
31.337319,73.057297,Origin/Warehouse,9,2120,02/01/2025
31.337319,73.057297,Origin/Warehouse,1,2120,02/01/2025
31.341134,73.057482,NASRULLAH TRADERS ROUTE.141,2,2120,02/01/2025
30.731256,72.648563,MALIK BOOTA TRADERS KAMALIA.20,3,2120,02/01/2025
31.2039,73.17074,ARSHAD& CO SATYANA.13,4,2120,02/01/2025
31.387262,73.201287,YAWAR BROTHERS ROUTE-130,5,2120,02/01/2025
31.440645,73.115344,RANA TRADERS ROUTE.57,6,2120,02/01/2025
31.742681,73.038419,DAMCO PAKISTAN (PVT) LTD.(Chiniot),7,2120,02/01/2025
31.418779,73.044673,R.S TRADERS ROUTE.135,8,2120,02/01/2025
31.337319,73.057297,Origin/Warehouse,9,2120,02/01/2025
