Vehicle,Stop Number,Latitude,Longitude,Distributor Name
7,1,32.308373,72.355597,AL-KAFEEL ENTERPRISES KHUSHAB-14
47,1,31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9
51,1,31.219285,73.001042,Masood Hadyat Traders ROUTE.62
53,1,31.219285,73.001042,Masood Hadyat Traders ROUTE.62
55,1,32.0779328,72.6724659,K.F.C RESTAURANT UNIVERSITY ROAD
59,1,31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9
68,1,30.864552,72.54273,CHAUDARY TRADERS RAJANA.06
69,1,30.866436,73.602953,ELLAHI TRADERS RENALA.18
69,2,30.866436,73.602953,ELLAHI TRADERS RENALA.18
69,3,30.866436,73.602953,ELLAHI TRADERS RENALA.18
139,1,31.440645,73.115344,RANA TRADERS ROUTE.57
139,2,31.440645,73.115344,RANA TRADERS ROUTE.57
272,1,31.440645,73.115344,RANA TRADERS ROUTE.57
272,2,31.440645,73.115344,RANA TRADERS ROUTE.57
272,3,31.440645,73.115344,RANA TRADERS ROUTE.57
2113,1,31.4315939,73.081087,K.F.C  CIVIL LINE
2113,2,31.4315939,73.081087,K.F.C  CIVIL LINE
2113,3,31.4315939,73.081087,K.F.C  CIVIL LINE
2113,4,31.4380088,73.1319612,PIZZA MAX
2154,1,31.4068728,73.1126684,K.F.C
2154,2,31.4068728,73.1126684,K.F.C
2154,3,31.4068728,73.1126684,K.F.C
2154,4,31.4068728,73.1126684,K.F.C
2154,5,31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES
2154,6,31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES
2154,7,31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD
2154,8,31.4315939,73.081087,K.F.C  CIVIL LINE
2154,9,31.4380631,73.1317245,K.F.C (Layallpur Galleria)
2154,10,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
2234,1,31.828529,72.549197,MIAN TRADERS SILLANWALI.08
