Dest Geo Lat,Dest Geo Lon,Distributor Name,Stop Number,Vehicle,Date
31.378359,73.07063,Origin/Warehouse,1,2119,02/01/2025
31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9,2,2119,02/01/2025
31.828529,72.549197,MIAN TRADERS SILLANWALI.08,3,2119,02/01/2025
32.071561,72.651152,MS MARKETING SARGODHA,4,2119,02/01/2025
32.254854,72.89593,CHAUDHARY TRADERS BHALWAL-8,5,2119,02/01/2025
31.378359,73.07063,Origin/Warehouse,6,2119,02/01/2025
31.378359,73.07063,Origin/Warehouse,1,2119,02/01/2025
31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9,2,2119,02/01/2025
31.828529,72.549197,MIAN TRADERS SILLANWALI.08,3,2119,02/01/2025
32.071561,72.651152,MS MARKETING SARGODHA,4,2119,02/01/2025
32.254854,72.89593,CHAUDHARY TRADERS BHALWAL-8,5,2119,02/01/2025
31.378359,73.07063,Origin/Warehouse,6,2119,02/01/2025
